# Generated by tools/build_varcon.py — do not edit by hand.
# One cluster per line: interchangeable spellings of one word, American form first.
specters	spectres
spelled	spelt
spilled	spilt
spiraled	spiralled
spiraling	spiralling
splendor	splendour
splendors	splendours
spoiled	spoilt
stabilization	stabilisation
stabilize	stabilise
stabilized	stabilised
stabilizer	stabiliser
stabilizers	stabilisers
stabilizes	stabilises
stabilizing	stabilising
standardization	standardisation
standardize	standardise
standardized	standardised
standardizes	standardises
standardizing	standardising
sterilization	sterilisation
sterilizations	sterilisations
sterilize	sterilise
sterilized	sterilised
sterilizer	steriliser
sterilizers	sterilisers
sterilizes	sterilises
sterilizing	sterilising
sulfur	sulphur
sulfuric	sulphuric
summarize	summarise
summarized	summarised
summarizes	summarises
summarizing	summarising
symbolization	symbolisation
symbolize	symbolise
symbolized	symbolised
symbolizes	symbolises
symbolizing	symbolising
sympathize	sympathise
sympathized	sympathised
sympathizer	sympathiser
sympathizers	sympathisers
sympathizes	sympathises
sympathizing	sympathising
synchronization	synchronisation
synchronizations	synchronisations
synchronize	synchronise
synchronized	synchronised
synchronizes	synchronises
synchronizing	synchronising
synthesize	synthesise
synthesized	synthesised
synthesizer	synthesiser
synthesizers	synthesisers
synthesizes	synthesises
synthesizing	synthesising
theater	theatre
theaters	theatres
theorize	theorise
theorized	theorised
theorizes	theorises
theorizing	theorising
tinseled	tinselled
tinseling	tinselling
totaled	totalled
totaling	totalling
toward	towards
traveled	travelled
traveler	traveller
travelers	travellers
traveling	travelling
tumor	tumour
tumors	tumours
tunneled	tunnelled
tunneler	tunneller
tunnelers	tunnellers
tunneling	tunnelling
upward	upwards
urbanization	urbanisation
urbanize	urbanise
urbanized	urbanised
urbanizes	urbanises
urbanizing	urbanising
utilization	utilisation
utilize	utilise
utilized	utilised
utilizes	utilises
utilizing	utilising
valor	valour
vandalize	vandalise
vandalized	vandalised
vandalizes	vandalises
vandalizing	vandalising
vapor	vapour
vaporization	vaporisation
vaporize	vaporise
vaporized	vaporised
vaporizer	vaporiser
vaporizers	vaporisers
vaporizes	vaporises
vaporizing	vaporising
vapors	vapours
vigor	vigour
visualization	visualisation
visualizations	visualisations
visualize	visualise
visualized	visualised
visualizer	visualiser
visualizers	visualisers
visualizes	visualises
visualizing	visualising
while	whilst
yogurt	yoghurt
